;; -*- coding: utf-8-mcs-er -*-
CB00538	&CB00538;	⿱&GT-64754;章
CB00539	&CB00539;	⿰麥&GT-11938;
CB00540	&I-CB00540;	⿱喜心
CB00541	&CB00541;	⿳士冖⿱石䖵
CB00542	&CB00542;	⿱斯&GT-27544;
CB00543	&CB00543;	⿰棠支
CB00544	&I-CB00544;	⿺毛&M-00703;
CB00545	&I-CB00545;	⿺毛匊
CB00546	&CB00546;	⿰&GT-24496;頁
CB00547	&CB00547;	⿱無足
CB00548	&CB00548;	⿰番去
CB00549	&CB00549;	⿰番飛
CB00550	&I-CB00550;	⿰登斤
CB00551	&CB00551;	⿱&GT-32936;心
CB00552	&CB00552;	⿱⺮助
CB00553	&CB00553;	⿰月色
CB00554	&I-CB00554;	⿰虛戈
CB00555	&CB00555;	⿰目叚
CB00556	&I-CB00556;	⿰&CDP-8C7A;&CDP-8C79;
CB00557	&I-CB00557;	⿰⺡⿱&GT-25225;夫
CB00558	&CB00558;	⿰石&CDP-8CE8;
CB00559	&CB00559;	⿱&GT-36329;&GT-35384;
CB00560	&CB00560;	⿰月却
CB00561	&I-CB00561;	⿱口丂
CB00562	&CB00562;	&CB00562;
CB00563	&CB00563;	⿰⻊厨
CB00564	&CB00564;	⿰⻊令󠄀
CB00565	&CB00565;	⿰⻊束
CB00566	&CB00566;	&CB00566;
CB00567	&CB00567;	⿰⻊專
CB00568	&CB00568;	⿰⻊梁
CB00569	&M-37884;	⿰⻊&GT-36979;
CB00570	&CB00570;	⿰⻊辟
CB00571	&CB00571;	⿰⻊尃
CB00572	&I-CB00572;	⿱&M-39010;口
CB00573	&CB00573;	⿱尙甘
CB00574	&CB00574;	&CB00574;
CB00575	&I-CB00575;	⿰&M-07296;吉
CB00576	&CB00576;	⿰&M-07296;頁
CB00577	&I-CB00577;	⿰學攴
CB00578	&I-CB00578;	&I-CB00578;
CB00579	&CB00579;	⿰漂寸
CB00580	&I-CB00580;	⿱漸土
CB00581	&CB00581;	⿰爾見
CB00582	&CB00582;	⿱艹盇
CB00583	&CB00583;	⿺風&M-24694;
CB00584	&I-CB00584;	⿺風犮
CB00585	&CB00585;	⿺風焱
CB00586	&CB00586;	&CB00586;
CB00587	&CB00587;	⿰鼻臭
CB00588	&I-CB00588;	⿰土&CDP-8CBE;
CB00589	&I-CB00589;	⿰⺡閒
CB00590	&CB00590;	&CB00590;
CB00591	&CB00591;	⿰⿱&CDP-8D44;米殳
CB00592	&I-CB00592;	&I-CB00592;
CB00593	&CB00593;	⿻行童
CB00594	&CB00594;	⿱臤&GT-33181;
CB00595	&CB00595;	⿰麥&GT-09425;
CB00596	&CB00596;	⿰麥并
CB00597	&CB00597;	⿰麥黃
CB00598	&CB00598;	⿰齒乍
CB00599	&CB00599;	⿰齒交󠄁
CB00600	&CB00600;	⿰齒來
CB00601	&CB00601;	⿰齒査
CB00602	&CB00602;	⿰齒&GT-11011;
CB00603	&CB00603;	⿰齒堯
CB00604	&CB00604;	⿰齒齊
CB00605	&I-CB00605;	⿰土畺
CB00606	&CB00606;	⿳&CDP-8D5E;&CDP-8D5E;一
CB00607	&I-CB00607;	&M-12342;
CB00608	&CB00608;	⿱⿳⺮目大食
CB00609	&CB00609;	&CB00609;
CB00610	&CB00610;	⿱蕊木
CB00611	&CB00611;	⿱蕊&GT-35079;
CB00612	&I-CB00612;	⿰⺡⿱止⿰止止
CB00613	&CB00613;	&CB00613;
CB00614	&I-CB00614;	⿳棥&GT-36329;&CDP-8D42;
CB00615	&CB00615;	&CB00615;
